0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:32 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:32 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:33 -0600] "PROPFIND /C$/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$/csj/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:34 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:35 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:35 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:35 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:35 -0600] "PROPFIND /C$/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:35 -0600] "PROPFIND /C$/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:35 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:41:35 -0600] "PROPFIND /C$/csj/S6 HTTP/1.1" 501 1126
