0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:06 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:06 -0600] "PROPFIND /C$/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:06 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj/Checkout.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:06 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:15 -0600] "GET /csj/Checkout HTTP/1.1" 500 2960
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:20 -0600] "GET /csj/Checkout.jsp HTTP/1.1" 500 2193
0:0:0:0:0:0:0:1 - - [19/Feb/2016:20:03:45 -0600] "GET /csj/confirmationpage.jsp HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [19/Feb/2016:20:04:14 -0600] "GET /csj/Phone HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [19/Feb/2016:20:04:28 -0600] "GET /csj/BestDeal_Checkout?newItem=Droid+MAXX HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [19/Feb/2016:20:05:01 -0600] "GET /csj/Phone.html HTTP/1.1" 200 6242
0:0:0:0:0:0:0:1 - - [19/Feb/2016:20:05:04 -0600] "GET /csj/Checkout?newItem=Droid+MAXX HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [19/Feb/2016:20:05:20 -0600] "GET /csj/Phone.html HTTP/1.1" 200 6246
0:0:0:0:0:0:0:1 - - [19/Feb/2016:20:05:21 -0600] "GET /csj/Phone.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2016:20:05:23 -0600] "GET /csj/Checkout.jsp?newItem=Droid+MAXX HTTP/1.1" 500 2193
0:0:0:0:0:0:0:1 - - [19/Feb/2016:20:24:12 -0600] "GET /csj/Checkout.jsp?newItem=Droid+MAXX HTTP/1.1" 500 2193
0:0:0:0:0:0:0:1 - - [19/Feb/2016:20:28:53 -0600] "GET /csj/Checkout.jsp?newItem=Droid+MAXX HTTP/1.1" 500 2193
